"stationId","stationName","state","wfo","radar","timeZoneId","latitude","longitude"
"KPHL","Philadelphia, Philadelphia International Airport","PA","PHI","DIX","America/New_York",39.87327,-75.22678
"KPIT","Pittsburgh, Pittsburgh International Airport","PA","PBZ","PBZ","America/New_York",40.50389,-80.26639
"KPNE","Philadelphia, Northeast Philadelphia Airport","PA","PHI","DIX","America/New_York",40.07889,-75.01361
"KPTW","Pottstown, Pottstown Limerick Airport","PA","PHI","DIX","America/New_York",40.23802,-75.55487
"KSEG","Selinsgrove Penn Valley Airport","PA","CTP","CCX","America/New_York",40.81929,-76.86582
"KTHV","York, York Airport","PA","CTP","LWX","America/New_York",39.91944,-76.87694
"KUNV","State College - University Park Airport","PA","CTP","CCX","America/New_York",40.85344,-77.8401
"KRDG","Reading, Reading Regional Airport","PA","PHI","DIX","America/New_York",40.37333,-75.95944
"KHMZ","Bedford, Bedford County Airport","PA","CTP","CCX","America/New_York",40.08528,-78.51222
"KLOM","Philadelphia - Wings Field Airport","PA","PHI","DIX","America/New_York",40.13758,-75.2684
"KUKT","Quakertown Airport","PA","PHI","DIX","America/New_York",40.4368,-75.38016
"KUCP","New Castle, New Castle Municipal Airport","PA","PBZ","PBZ","America/New_York",41.02528,-80.41333
"KCKZ","PERKASIE","PA","PHI","DIX","America/New_York",40.38916,-75.2905
"KN38","Wellsboro Johnston Airport","PA","CTP","CCX","America/New_York",41.72789,-77.3965
"KHZL","Hazleton Municipal Airport","PA","BGM","BGM","America/New_York",40.98447,-75.99005
"K22N","Lehighton Jake Arner Memorial Airport","PA","PHI","DIX","America/New_York",40.8095,-75.7615
"K2G9","Somerset County Airport","PA","CTP","PBZ","America/New_York",40.0389,-79.015
"KOYM","St Marys Municipal Airport","PA","CTP","CCX","America/New_York",41.41248,-78.50263
"TJBQ","Aquadilla, Rafael Hernandez Airport","PR","SJU","JUA","America/Puerto_Rico",18.5,-67.13333
"TJNR","Roosevelt Roads, Roosevelt Roads Naval Station, Ofstie Field","PR","SJU","JUA","America/Puerto_Rico",18.25528,-65.64333
"TJSJ","San Juan, Luis Munoz Marin International Airport","PR","SJU","JUA","America/Puerto_Rico",18.45,-66
"TJIG","San Juan Fernando Luis Ribas Dominicci","PR","SJU","JUA","America/Puerto_Rico",18.4568,-66.0981
"KBID","Block Island State Airport","RI","BOX","BOX","America/New_York",41.16947,-71.57873
"KOQU","N. Kingston / Quonset","RI","BOX","BOX","America/New_York",41.6,-71.41667
"KPVD","Providence, Theodore Francis Green State Airport","RI","BOX","BOX","America/New_York",41.72249,-71.43247
"KSFZ","Pawtucket, North Central State Airport","RI","BOX","BOX","America/New_York",41.91667,-71.5
"KUUU","Newport, Newport State Airport","RI","BOX","BOX","America/New_York",41.53,-71.28361
"KWST","Westerly, Westerly State Airport","RI","BOX","BOX","America/New_York",41.34972,-71.79889
"KAND","Anderson, Anderson County Airport","SC","GSP","GSP","America/New_York",34.49778,-82.70972
"KCAE","Columbia, Columbia Metropolitan Airport","SC","CAE","CAE","America/New_York",33.94194,-81.11806
"KCEU","Clemson, Clemson-Oconee County Airport","SC","GSP","GSP","America/New_York",34.67222,-82.88139
"KCHS","Charleston, Charleston Air Force Base","SC","CHS","CLX","America/New_York",32.89889,-80.04056
"KCRE","North Myrtle Beach Grand Strand Airport","SC","ILM","LTX","America/New_York",33.81619,-78.72043
"KCUB","Columbia - Jim Hamilton L.B. Owens Airport","SC","CAE","null","America/New_York",33.97083,-80.99444
"KFLO","Florence - Florence Regional Airport","SC","ILM","LTX","America/New_York",34.18778,-79.73083
"KGMU","Greenville Downtown Airport","SC","GSP","GSP","America/New_York",34.84873,-82.35004
"KGRD","Greenwood, Greenwood County Airport","SC","GSP","GSP","America/New_York",34.24722,-82.15472
"KGSP","Greer, Greenville-Spartanburg Airport","SC","GSP","GSP","America/New_York",34.88389,-82.22083
"KMMT","McEntire Air National Guard Weather Facility Base","SC","CAE","CAE","America/New_York",33.91667,-80.8
"KMYR","Myrtle Beach Air Force Base","SC","ILM","LTX","America/New_York",33.68333,-78.93333
"KNBC","Beaufort, Marine Corps Air Station","SC","CHS","CLX","America/New_York",32.49361,-80.70306
"KOGB","Orangeburg, Orangeburg Municipal Airport","SC","CAE","CAE","America/New_York",33.46389,-80.85361
